names,scores,logfoldchanges,pvals,pvals_adj
IGHG3,13.2009115,1.5231795,8.667998131390656e-40,2.907073213305798e-35
IGKC,11.387217,1.2121158,4.8421118713217126e-30,8.119737397019379e-26
MALAT1,10.875977,0.95165557,1.5003978902955228e-27,7.188620634961606e-24
COL1A2,6.85482,0.9671341,7.140246636891334e-12,1.054932122061945e-09
MT-CO3,6.5876174,0.5564745,4.4694081397618037e-11,4.963410933487794e-09
COL1A1,6.351504,0.8724891,2.132198481524504e-10,1.7912683703035117e-08
MT-CO1,6.041045,0.54034317,1.5311914736817353e-09,9.009315727076848e-08
COL3A1,5.6400466,0.83881634,1.700042062833097e-08,6.590460711581422e-07
MT-ND4,5.457452,0.5179586,4.830165348316612e-08,1.6039018361568568e-06
IGFBP7,5.3771305,0.5875497,7.568222470430101e-08,2.3415410075026265e-06
DCN,5.1582074,0.99454623,2.493253434621699e-07,6.399240169636061e-06
TIMP1,4.702045,0.30585116,2.5756870831548635e-06,4.702416624651487e-05
C3,4.486716,0.6867839,7.232953250044489e-06,0.00011545872732031987
MTRNR2L12,4.4862823,0.6672503,7.247660757609556e-06,0.00011558347431702772
MT-ATP6,4.2534165,0.42536294,2.1053323226041814e-05,0.0002922542857429596
MT-CO2,4.039083,0.37178192,5.366052970793094e-05,0.0006565730920629654
TXNIP,4.0157447,0.5048532,5.925838743025053e-05,0.0007128435429109549
AD000090.1,3.9092274,1.4793984,9.259178065478658e-05,0.0010496450618826202
SPARC,3.8451438,0.46422052,0.0001204817545430032,0.0013179116385724859
CST3,3.7642167,0.28829214,0.00016707197954749325,0.001749925062480896
JCHAIN,3.7093992,1.0896766,0.00020775161570341018,0.0021050071563326195
IGHM,3.6382146,0.5104104,0.0002745347141923587,0.0026788900915284625
COL6A1,3.6341012,0.4768394,0.00027895152672192334,0.002714879948694099
HLA-DRA,3.633235,0.41285425,0.0002798898276135293,0.002723221653177414
COL6A2,3.419551,0.43204883,0.0006272457244519978,0.00545412681012992
S100A6,3.3680243,0.1943051,0.0007570890813499018,0.0063893441394849045
IGHG4,3.3511374,0.24503334,0.0008048033989221945,0.006727691025187577
IGFBP4,3.3119512,0.18232499,0.0009264769428164805,0.00759339777814739
SSR4,3.277398,-0.0045151873,0.0010476855074879414,0.008445726017313625
RPL37,3.2215414,0.35664874,0.0012750301902071002,0.009994957821505227
TPT1,3.2209785,0.39726427,0.001277537087847416,0.010009930525333973
CCDC80,3.2153928,1.027788,0.001302660983273791,0.010180623300310667
S100A4,3.2123618,0.47715235,0.0013164841971384479,0.010265577075942634
RPS27,3.1613982,0.25076196,0.0015701371479413995,0.012006215154504937
VIM,3.0156946,0.29398105,0.002563913195423189,0.01831881566853492
SFRP2,2.9712257,0.8287476,0.00296613567398407,0.020828781037285957
MT-ND1,2.8639293,0.28789768,0.004184215591427138,0.02793753185452585
IGHA1,2.8580403,0.4114794,0.0042626609860932,0.028404753457499255
HLA-B,2.8502464,0.27047706,0.004368536292862041,0.028960658270410583
IGHG1,2.7282712,0.27551657,0.0063667241685391625,0.03994896074171495
HLA-DPA1,2.7244608,0.35625672,0.006440657177962438,0.040329865652446645
MTRNR2L8,2.6141331,0.42199686,0.008945416291793433,0.053611753322760566
MT-CYB,2.5857286,0.2378006,0.009717342259385444,0.05747799377341606
FOS,2.5785842,0.51092213,0.009920614538892399,0.058494650211915133
FN1,2.5405238,0.26897743,0.011068660214335694,0.06450403584159696
RPL13,2.2792966,0.06278059,0.02264944364351514,0.11928141173210002
RPS11,2.2106233,-0.09969508,0.027061940487819295,0.13890470769520716
DUSP1,2.2096705,0.4773184,0.027128030816450807,0.13913746712373867
RPL24,2.1611316,0.09451256,0.030685172078805032,0.15419197767391682
CD74,2.135195,0.17390029,0.03274507566113405,0.16255244930774332
LUM,2.0753982,0.5031592,0.0379496428483287,0.18421698101711506
MT-ND3,1.8753103,0.4072346,0.060750050036698804,0.2739592817171984
MZB1,1.8644854,0.6078679,0.062253576622564456,0.27938718757762165
MMP2,1.6894679,0.8418098,0.09112979074988282,0.3844416254301346
DPT,1.654655,1.5429622,0.09799450493092142,0.40750647320188993
TSC22D3,1.6485931,0.33287668,0.09923104025490333,0.41162778331093974
GSN,1.5901817,0.23171878,0.11179385123545546,0.45501725518625064
POSTN,1.4213128,0.4683276,0.1552258268999494,0.5944238162332157
IGLC2,1.3865865,0.211558,0.16556788890172802,0.6274368201114299
RPL32,1.3852875,0.048304375,0.16596457340520743,0.6287269697123965
FBLN2,1.3742027,0.6964165,0.16937873844191365,0.6396378932400517
FBLN1,1.3338908,0.5665593,0.18223966288569726,0.678276974127235
RPL34,1.3273958,0.24847417,0.18437778966205542,0.6844425201771893
RPS12,1.1964142,0.1714632,0.23153496875471968,0.8185979108260372
RPS18,1.1922141,0.061187536,0.2331773010604844,0.823189507680687
FCRL5,1.1895295,1.3692147,0.23423135737976608,0.8260411423556883
COL6A3,1.1548898,0.48405263,0.24813557079241444,0.8661501637422976
RPS3A,1.1168293,0.10695178,0.26406730808201595,0.9105787968799764
LRP1,1.1160499,0.43425494,0.26440076295506654,0.9114475062171878
RPS27A,1.1006353,0.21053292,0.27105544432952344,0.9306264498375779
RPL9,1.0767338,0.111034706,0.2815992093125549,0.9590042934529311
TNXB,1.0567293,0.925712,0.2906351342881687,0.982295790966099
JUNB,1.0538715,0.61506206,0.29194172925303885,0.9861155922739869
PLA2G2A,1.0352527,2.3636034,0.30055092357362456,1.0
POU2AF1,1.0148585,0.67047673,0.31017327537721207,1.0
COL5A2,0.9409026,0.64792085,0.3467547660913226,1.0
MT-ND2,0.8758665,0.13964964,0.3811026355620575,1.0
RPS28,0.8689385,-0.002018112,0.384880766823271,1.0
MEG3,0.84876084,0.7228046,0.39601438306309,1.0
A2M,0.8024735,0.0970358,0.42227913658708804,1.0
ACTB,0.7855866,0.119497776,0.4321097342989868,1.0
RPS19,0.75705206,-0.08378969,0.4490186707654955,1.0
RPL3,0.74938804,-0.051033933,0.45362337149280263,1.0
IGLV3-1,0.74458176,0.78037554,0.4565246044035657,1.0
PLAC9,0.7333238,0.69075745,0.4633609467424956,1.0
PODN,0.72947013,0.7441717,0.46571411949381936,1.0
SERPING1,0.71994424,0.23658408,0.4715593423386888,1.0
MFAP4,0.68456835,0.60196763,0.49361634076778016,1.0
LOX,0.6610133,1.1133294,0.5086037738947127,1.0
RPL27A,0.65291625,-0.11226721,0.5138102586357405,1.0
RPSA,0.6507513,-0.06695149,0.5152070510508346,1.0
ITM2B,0.6332149,0.012775568,0.5265933138073104,1.0
IGKV4-1,0.6262869,1.1075249,0.5311267432879903,1.0
IGF1,0.6210477,1.1772742,0.5345682473534203,1.0
HLA-A,0.61035264,-0.018418886,0.5416282204841355,1.0
KCNN3,0.6055897,1.4080744,0.5447872488926637,1.0
PTGIS,0.60351133,1.1304239,0.5461685963813127,1.0
RGS1,0.6024721,0.18389764,0.5468599205197622,1.0
GPC3,0.59472144,1.4408169,0.5520296706755965,1.0
DDX5,0.57965314,-0.06867255,0.5621485308715085,1.0
CFD,0.54847735,1.1969165,0.5833641572537954,1.0
RPL36,0.53973085,-0.15456277,0.5893826691341703,1.0
CPNE5,0.5396875,0.77236414,0.5894125348589585,1.0
IGHGP,0.53656995,0.4209955,0.5915646987045047,1.0
B2M,0.5350112,0.22393806,0.5926421327401703,1.0
RACK1,0.5315039,-0.11873909,0.5950696431510101,1.0
IGKV3-11,0.52401304,1.1487213,0.6002694663584476,1.0
SPOCK1,0.51777786,1.6854979,0.6046132479178365,1.0
PNOC,0.49318364,1.0039275,0.621882826160139,1.0
CASQ2,0.4873815,1.9111167,0.6259880055949425,1.0
PLD4,0.47603697,0.8927006,0.6340480391001464,1.0
LINC00582,0.46425945,3.3286297,0.6424618719081555,1.0
FAM107A,0.45469022,1.0799987,0.6493321209109635,1.0
HGF,0.43758684,1.1382627,0.6616858186623664,1.0
ABCA9,0.43715385,1.2788244,0.66199978732538,1.0
PI16,0.43013927,0.48502097,0.6670943265300939,1.0
AC012236.1,0.4271949,1.0212831,0.6692373740537583,1.0
BGN,0.4132091,0.16982287,0.6794534236355114,1.0
BMP6,0.4130359,2.222208,0.6795803127714878,1.0
CLDN5,0.40502545,0.5277944,0.6854588018659542,1.0
HSPG2,0.39000046,0.1556855,0.696536210830969,1.0
FLNC,0.3817302,1.1304426,0.7026614891496947,1.0
CAVIN2,0.3700826,0.89993536,0.7113209540848848,1.0
OMD,0.36302474,1.5637445,0.7165864052332982,1.0
HSPB6,0.3529792,1.0676285,0.7241040299067747,1.0
LINC01759,0.34670076,2.028179,0.7288161480382247,1.0
MS4A2,0.34241408,1.5035692,0.7320392959364919,1.0
S100A3,0.34219757,1.0731252,0.732202207218401,1.0
TBX18,0.3420244,1.6231037,0.7323325449344891,1.0
ARHGAP4,0.3417213,0.31473187,0.7325606545147112,1.0
GAS6,0.33617893,0.21817556,0.7367359484762285,1.0
ZFP36,0.3278221,0.12949975,0.7430461944324244,1.0
EGFL6,0.31950852,2.4756918,0.7493409220655751,1.0
NPR3,0.31587136,1.4951853,0.7521001532175895,1.0
OST4,0.30638874,-0.051072586,0.7593086945219725,1.0
PRG4,0.30192885,1.3831893,0.7627063008838144,1.0
CYP46A1,0.29110393,2.0157096,0.7709718378714833,1.0
AL078639.1,0.29067093,1.6707585,0.7713030078710569,1.0
KCNJ10,0.29041114,1.9234934,0.771501729882551,1.0
COL6A6,0.28647086,3.114827,0.7745175114719571,1.0
LINC01119,0.28647086,3.693705,0.7745175114719571,1.0
ASPHD2,0.2801491,1.3378029,0.779363116132146,1.0
OGN,0.27300465,1.1513441,0.7848496425600427,1.0
CDK15,0.27218196,2.8080268,0.7854821170567128,1.0
KIF17,0.26984376,1.8696314,0.7872804481601119,1.0
LY6D,0.26932418,1.545279,0.7876802317516973,1.0
CEACAM4,0.26932418,1.7818187,0.7876802317516973,1.0
GFI1B,0.25884566,3.6085284,0.79575433872046,1.0
ADPRHL1,0.25849923,3.5403562,0.796021630353029,1.0
KERA,0.25780645,1.9333894,0.7965562853941559,1.0
AC016831.7,0.25771984,2.4375744,0.7966231239941742,1.0
IGKV3-15,0.25642085,0.5401881,0.7976258817418909,1.0
AC147651.4,0.25455898,0.84494746,0.7990637500165998,1.0
DLK1,0.25317338,3.8760717,0.8001342341742679,1.0
PKHD1L1,0.24836712,1.398571,0.8038503747889917,1.0
MLXIPL,0.24472994,2.8873196,0.8066655441204109,1.0
FSD1,0.24065977,1.8076781,0.8098188234135923,1.0
DLGAP3,0.23035444,2.7340326,0.8178163627912853,1.0
PCSK5,0.22810285,0.53324586,0.8195662824064935,1.0
IGLV3-25,0.22758326,0.1403043,0.819970237981677,1.0
SIRPB1,0.22602446,1.4299822,0.8211823909203977,1.0
NBPF9,0.22520177,3.3628738,0.8218223106920126,1.0
PTPN5,0.22511518,2.9831903,0.82188967757255,1.0
DNAAF1,0.22489868,1.1702139,0.8220581005186172,1.0
IGHV3-15,0.22489868,0.81308794,0.8220581005186172,1.0
VIPR2,0.22282028,0.8883245,0.8236753769615176,1.0
GDF10,0.21978931,1.3139381,0.8260352461553266,1.0
ZNF169,0.21939962,1.5172354,0.8263387724384721,1.0
KHDC1,0.21896662,1.5505303,0.826676054300329,1.0
UPK3BL1,0.21623874,1.9800302,0.8288016629596807,1.0
TRBC2,0.21589233,0.16198203,0.8290716715780715,1.0
COL11A2,0.21580574,1.2591124,0.8291391768890697,1.0
GPIHBP1,0.21511294,0.8632237,0.8296792647539225,1.0
LYL1,0.21498305,0.7242169,0.829780540197381,1.0
CTGF,0.20974378,0.40197653,0.8338676561069054,1.0
ATOH8,0.2078386,0.8619114,0.8353549998856122,1.0
IFI27,0.20433131,-0.087037474,0.8380946011347418,1.0
DISC1,0.20307562,1.3716422,0.8390759251684771,1.0
ANKRD36B,0.20285912,0.9760117,0.8392451443035759,1.0
LRRC4B,0.20246942,2.1557012,0.8395497574704036,1.0
P2RX1,0.19857246,0.81158143,0.8425972037651241,1.0
LILRB5,0.19813946,0.90415996,0.8429359553471125,1.0
ACKR4,0.19740336,2.7058177,0.8435118997057673,1.0
Z82206.1,0.19714357,2.7052245,0.8437151941833259,1.0
DACT2,0.19705696,2.4250543,0.8437829613237215,1.0
AC021016.3,0.19705696,2.9256456,0.8437829613237215,1.0
COL10A1,0.19705696,0.6924367,0.8437829613237215,1.0
AEBP1,0.19645077,0.13795772,0.8442573636599372,1.0
TNFRSF13C,0.1917311,0.9009375,0.8479528440765187,1.0
SFRP4,0.18965271,0.32661387,0.8495812773260988,1.0
GPR55,0.18913312,2.4436963,0.8499884862172596,1.0
AL160006.1,0.18835372,1.877679,0.8505993745575522,1.0
TSPAN8,0.18688153,0.96378696,0.8517535191656841,1.0
LGALS12,0.18679494,0.781265,0.8518214199385413,1.0
AL359513.1,0.18679494,1.7163125,0.8518214199385413,1.0
AC104699.1,0.18618874,0.2484449,0.8522967560760578,1.0
AL137003.2,0.18298456,1.3066365,0.8548101343770593,1.0
P3H3,0.18029998,0.5436203,0.8569170737452803,1.0
RXRG,0.1782216,21.550432,0.8585489539379453,1.0
SLC14A2-AS1,0.1782216,23.63052,0.8585489539379453,1.0
BMP8A,0.1782216,23.346426,0.8585489539379453,1.0
CFAP58,0.1782216,22.548279,0.8585489539379453,1.0
MYOT,0.1782216,23.58863,0.8585489539379453,1.0
GALNT15,0.17311223,1.0279447,0.862563215292776,1.0
IGKV1-6,0.17293903,0.8812231,0.8626993547696343,1.0
TRPC6,0.17259263,1.7506821,0.8629716459528625,1.0
AC073610.3,0.16943175,2.7541757,0.8654570510733008,1.0
TBX6,0.16943175,3.1269085,0.8654570510733008,1.0
ATP6V0D2,0.16943175,2.7469301,0.8654570510733008,1.0
AC007950.2,0.16925855,2.6268477,0.8655932763509844,1.0
DUSP15,0.16917196,2.1165192,0.8656613904876573,1.0
LGALS1,0.16912866,-0.15783706,0.8656954479302343,1.0
AC008074.3,0.16908535,2.9250276,0.8657295056222226,1.0
GNG4,0.16531828,1.0339901,0.8686934725233842,1.0
CNNM3-DT,0.16419248,4.759208,0.8695796159492737,1.0
LINC01754,0.16419248,5.343192,0.8695796159492737,1.0
PEAK3,0.16419248,6.2515063,0.8695796159492737,1.0
RASAL2-AS1,0.16419248,5.708702,0.8695796159492737,1.0
IGLV9-49,0.16410589,3.6179366,0.8696477876273858,1.0
AL627422.2,0.16410589,3.460463,0.8696477876273858,1.0
AC107959.1,0.16384609,0.9549632,0.8698523084726931,1.0
AC022306.2,0.1610749,2.5356781,0.8720344031688441,1.0
MYBPC3,0.16020891,1.3947785,0.8727165083227347,1.0
ASMTL-AS1,0.15977591,1.5613433,0.8730575964215146,1.0
CENPV,0.15865013,1.5595796,0.8739445357620871,1.0
AL022328.4,0.15847692,1.4032077,0.8740810020574035,1.0
ANKRD36C,0.15813053,1.2403209,0.8743539458813867,1.0
IGHV1-24,0.15709133,1.348497,0.8751728669327414,1.0
LINC01770,0.15544595,2.9411597,0.8764697650191997,1.0
ADCYAP1R1,0.15535934,2.2882888,0.8765380320329146,1.0
AC100793.4,0.15501295,2.2556942,0.8768111092675023,1.0
USP44,0.15483975,1.5880945,0.8769476533856381,1.0
AQP7,0.15440676,0.70016325,0.8772890296930349,1.0
IGLJ3,0.15423356,1.059788,0.877425586610321,1.0
TWIST1,0.15224177,1.3507329,0.8789962523459185,1.0
TNFRSF17,0.15154897,0.7581912,0.8795426828314616,1.0
DCX,0.15016338,4.2055597,0.8806357156684479,1.0
LVRN,0.15016338,5.3814697,0.8806357156684479,1.0
AC108865.2,0.15016338,3.9443145,0.8806357156684479,1.0
AL109936.6,0.15016338,3.7453253,0.8806357156684479,1.0
ISL2,0.15016338,3.6643033,0.8806357156684479,1.0
AC012447.1,0.14999019,1.9244251,0.8807723608074005,1.0
MIXL1,0.14981699,1.8649107,0.8809090094961836,1.0
IGHJ1,0.14981699,1.8579433,0.8809090094961836,1.0
SH3RF3,0.1484747,0.93640494,0.8819681567540716,1.0
WISP2,0.1466994,0.79881334,0.8833692883457059,1.0
PDK1,0.14163335,0.71580684,0.8873696314613765,1.0
TMEM59L,0.14107044,0.60444,0.8878142931154591,1.0
LRRC2,0.14102714,1.7673454,0.8878484993224308,1.0
C8orf88,0.14085394,1.6243254,0.8879853262384745,1.0
GLIS1,0.14068075,1.6945319,0.8881221564925526,1.0
TBX5,0.14042094,0.8645784,0.8883274081236829,1.0
PRND,0.14042094,1.2365965,0.8883274081236829,1.0
ADAMTS3,0.14024775,1.0185872,0.8884642467052442,1.0
DNM1,0.14011785,1.1201383,0.8885668778229783,1.0
LPAR1,0.13873225,0.73551524,0.8896617256376945,1.0
CIP2A,0.13825597,1.8552355,0.8900381282896672,1.0
NOVA1,0.13821267,1.4482822,0.8900723479429526,1.0
SOX17,0.13821267,0.8684253,0.8900723479429526,1.0
AC004865.2,0.13782297,1.3503336,0.8903803340305392,1.0
PYGM,0.13769306,1.3190535,0.8904829997380327,1.0
INMT,0.13743326,0.5653318,0.89068833666027,1.0
AC104260.1,0.13613428,3.1468854,0.8917151309745064,1.0
AL357079.1,0.13613428,3.8848472,0.8917151309745064,1.0
SOX30,0.13613428,3.3696232,0.8917151309745064,1.0
AL117339.5,0.13604768,2.4988968,0.8917835904041871,1.0
AC135178.3,0.13604768,3.387536,0.8917835904041871,1.0
AP002490.1,0.13587448,2.2747228,0.8919205116827539,1.0
AC004854.2,0.13587448,2.0778763,0.8919205116827539,1.0
AL359232.1,0.13587448,2.3963573,0.8919205116827539,1.0
AC092794.1,0.13587448,2.62899,0.8919205116827539,1.0
IGLV1-50,0.13578787,1.6023356,0.891988973530632,1.0
IGKV3-7,0.13570128,1.6147175,0.892057436183568,1.0
IGLV3-19,0.13561468,0.75352186,0.892125899641058,1.0
IGLC7,0.1336229,-0.057636846,0.8937007800608102,1.0
PSD,0.13301669,1.8293996,0.8941801749829034,1.0
AC016027.1,0.1316311,1.3635144,0.8952760796879128,1.0
TMEM246,0.13102491,1.2797363,0.8957556009764402,1.0
KCNIP3,0.13076511,1.5743599,0.8959611217698883,1.0
AC004233.3,0.12712793,2.266036,0.8988391398013831,1.0
FBXL8,0.12695473,0.8773072,0.8989762217768825,1.0
SMAD1,0.12686814,1.8283707,0.899044763895228,1.0
IGLV1-51,0.12565574,0.36416942,0.9000044323928271,1.0
DSEL,0.12388046,1.0594382,0.9014099246715225,1.0
AL606807.1,0.12318766,1.1852498,0.9019584935617998,1.0
AL035665.1,0.122105174,3.495007,0.9028157260848931,1.0
IGHV3-23,0.122018576,1.9955862,0.9028843095950465,1.0
MUC3A,0.12193197,1.9962305,0.9029528938299075,1.0
TRAV8-6,0.12193197,2.7701273,0.9029528938299075,1.0
AL356259.1,0.12193197,2.7066317,0.9029528938299075,1.0
AC022167.3,0.12184537,1.852098,0.9030214787889697,1.0
IGHV3-21,0.12184537,1.6482252,0.9030214787889697,1.0
IGHV4-34,0.121672176,1.5171051,0.9031586508776701,1.0
AL160272.1,0.12158558,1.1788242,0.903227238006295,1.0
SSC5D,0.12002678,1.3261769,0.904461929322188,1.0
ZFHX4,0.11916079,0.5699477,0.905147968958344,1.0
LINC01315,0.118814394,1.5158398,0.9054224046646022,1.0
CCDC151,0.1179484,1.3928396,0.9061085432756801,1.0
VENTX,0.117255606,1.0558407,0.9066575046519523,1.0
ARHGAP6,0.11621641,1.5228398,0.9074810302530378,1.0
AL117336.3,0.11314213,2.0590472,0.9099178725018316,1.0
AL358472.2,0.112709135,1.2412136,0.9102611583528502,1.0
BTNL9,0.11231944,1.032741,0.9105701299449858,1.0
AC024337.2,0.11218954,0.87326306,0.9106731234833555,1.0
TDRD9,0.11218954,0.88132316,0.9106731234833555,1.0
ANKRD53,0.11175654,0.599262,0.9110164461086125,1.0
FAM27C,0.11076065,0.920751,0.9118061510918009,1.0
COL4A3,0.108162664,0.66519296,0.9138666591390269,1.0
AC119428.2,0.108076066,2.6312082,0.9139353527901637,1.0
CFAP221,0.108076066,3.4907672,0.9139353527901637,1.0
CLEC12B,0.10798947,2.1865442,0.9140040470842297,1.0
AC009948.3,0.10790287,2.6395118,0.9140727420207156,1.0
AC025259.3,0.10790287,1.8999133,0.9140727420207156,1.0
AC105020.5,0.10781627,1.8363241,0.9141414375991124,1.0
AL450384.2,0.10781627,1.9739797,0.9141414375991124,1.0
TCL1B,0.107729666,1.4547503,0.9142101338189107,1.0
AC026254.2,0.10764307,1.0381582,0.9142788306796016,1.0
IGLC5,0.10764307,1.97911,0.9142788306796016,1.0
CYP26B1,0.10764307,0.90223885,0.9142788306796016,1.0
LINC01358,0.10764307,1.7366453,0.9142788306796016,1.0
WNT11,0.10764307,1.2145073,0.9142788306796016,1.0
IFNG-AS1,0.10755647,0.4518435,0.9143475281806756,1.0
AC044839.1,0.10746987,0.6779309,0.9144162263216236,1.0
CCDC134,0.107296675,0.13102113,0.9145536245211044,1.0
CLEC3B,0.105218284,1.5955415,0.9162026009134634,1.0
C19orf44,0.10504509,1.1374565,0.9163400319890824,1.0
PCDHB10,0.104785286,1.2956412,0.9165461832894879,1.0
FBLN5,0.104568794,0.6090658,0.9167179803274612,1.0
CACNA1F,0.104005896,1.3693627,0.917164670808495,1.0
NCF1,0.1032265,0.7261293,0.9177832084651468,1.0
GNG8,0.1030533,0.624358,0.9179206680491628,1.0
MAP7D3,0.1029667,1.0982299,0.9179893987614877,1.0
KLF4,0.10188421,1.0706179,0.9188485842110372,1.0
ARRDC5,0.099329524,2.0823812,0.9208766358004157,1.0
AL133338.1,0.099242926,1.9997096,0.9209453924052311,1.0
IFNG,0.099242926,1.466421,0.9209453924052311,1.0
LINC00982,0.09906973,1.5273037,0.92108290738712,1.0
ZNF429,0.098896526,2.0642774,0.9212204247286158,1.0
HIF3A,0.09880993,1.1638936,0.9212891842829397,1.0
CXorf57,0.09829033,1.0952175,0.9217017539467789,1.0
SLC9B2,0.097640835,1.5514188,0.9222174956447592,1.0
PCDHB16,0.09703464,1.5741123,0.9226988840770604,1.0
WIPF3,0.09495626,1.3182064,0.9243495726034796,1.0
TENM4,0.09478306,0.8931311,0.9244871447846226,1.0
HSPB7,0.094046965,2.9268823,0.9250718517008439,1.0
AC003101.2,0.094046965,2.4245842,0.9250718517008439,1.0
SP9,0.094046965,2.8869185,0.9250718517008439,1.0
HMX2,0.094046965,2.1871755,0.9250718517008439,1.0
Z97200.1,0.09396036,2.339682,0.9251406434171453,1.0
AC083837.1,0.09387376,1.6999234,0.9252094356932012,1.0
C16orf71,0.09387376,1.6680782,0.9252094356932012,1.0
TPH1,0.09387376,2.4537432,0.9252094356932012,1.0
AC007336.2,0.09387376,2.2263408,0.9252094356932012,1.0
AL512598.1,0.09387376,1.6396062,0.9252094356932012,1.0
PAXBP1-AS1,0.09378716,1.6766797,0.9252782285285002,1.0
AL158151.1,0.09378716,1.961946,0.9252782285285002,1.0
PCOLCE2,0.09378716,1.6608839,0.9252782285285002,1.0
