Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Oxidative Phosphorylation,192/200,1.1185524334484023e-46,5.592762167242012e-45,0,0,23.922549415086728,2531.170288905807,ISCA1;MTRR;ACAA2;ECI1;COX6A1;PHB2;TOMM22;MPC1;PMPCA;ATP6V1E1;ACAA1;PDHX;ATP6V1G1;CPT1A;PHYH;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;ATP1B1;SDHB;COX6B1;AFG3L2;OXA1L;COX7A2L;POR;FDX1;UQCRC1;VDAC3;VDAC2;SUCLG1;VDAC1;UQCRC2;ISCU;MAOB;RETSAT;UQCRB;ABCB7;COX15;MGST3;COX17;ATP5MC2;ATP5MC3;HTRA2;COX7A2;MRPL15;UQCRH;MRPL11;ATP5MC1;ACAT1;TIMM50;PRDX3;LDHB;LDHA;RHOT2;CYB5R3;RHOT1;GRPEL1;ATP6V1H;COX11;CYC1;NDUFV2;NDUFV1;ATP6V1D;ATP5MG;ATP6V1C1;ATP5MF;COX10;DECR1;ATP6V1F;ATP5ME;HSPA9;SURF1;PDHA1;IDH1;IDH2;GOT2;ACADSB;CS;GLUD1;ALDH6A1;UQCRQ;OGDH;CYCS;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;ALAS1;MRPS11;MRPS12;HCCS;ETFA;ETFB;TCIRG1;MRPL34;COX7C;MRPL35;CASP7;AIFM1;OPA1;NNT;IDH3B;TIMM17A;UQCRFS1;ACADM;DLAT;IDH3A;TOMM70;ATP6V0B;ATP6AP1;MRPS22;NDUFC2;NDUFC1;HADHB;SUPV3L1;HADHA;BDH2;NDUFS8;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;SLC25A12;DLD;SLC25A11;SLC25A4;FXN;SLC25A6;FH;NDUFB8;ECHS1;OAT;NDUFB7;NDUFB6;NDUFB5;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;ETFDH;DLST;NDUFB1;UQCR11;UQCR10;TIMM10;MRPS30;PDHB;COX5B;COX5A;HSD17B10;ATP5F1A;ATP5F1B;MFN2;POLR2F;SLC25A20;NDUFA9;TIMM8B;ATP5PF;NDUFA8;CYB5A;NQO2;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;NDUFA1;IMMT;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;LRPPRC;PDP1;SUCLA2;NDUFAB1;ATP5PO;BAX
MSigDB_Hallmark_2020,Myc Targets V1,191/200,2.3925434499096805e-45,5.981358624774203e-44,0,0,21.14946276315642,2172.979813752714,EIF4A1;HDDC2;HNRNPU;HNRNPR;PWP1;PHB2;RPL6;UBE2L3;RRP9;PSMD8;CDC20;FBL;PSMD7;SNRPD2;TRIM28;SNRPD1;MYC;RUVBL2;PSMD3;PSMD1;SNRPD3;TXNL4A;KPNA2;RPS10;DDX18;SMARCC1;STARD7;EIF1AX;RPS5;RPL22;IFRD1;RPS6;MRPS18B;UBE2E1;ILF2;TUFM;CLNS1A;VDAC3;SRSF2;SNRPG;NHP2;SRSF3;VDAC1;ERH;HPRT1;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;GLO1;CSTF2;CUL1;NOLC1;PHB;GSPT1;PRDX3;LDHA;PRDX4;PCBP1;G3BP1;ORC2;PGK1;CYC1;XRCC6;NOP16;CBX3;GOT2;PA2G4;EIF2S2;EIF2S1;SRPK1;LSM2;AIMP2;LSM7;COPS5;CDK4;CDK2;HNRNPD;UBA2;RNPS1;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;MCM7;RPLP0;SYNCRIP;XPO1;YWHAQ;C1QBP;RACK1;DHX15;AP3S1;MRPL9;ACP1;CCT3;TOMM70;CCT2;RFC4;NCBP1;VBP1;NCBP2;PABPC4;CAD;CTPS1;RAD23B;NME1;GNL3;CCNA2;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CANX;TCP1;MCM4;SNRPA1;MCM5;ETF1;PABPC1;MCM6;MCM2;PRPS2;HDAC2;PCNA;SF3B3;ODC1;SRSF1;DDX21;TYMS;COX5A;PSMA7;HSPD1;SRM;PPM1G;EXOSC7;CDC45;PSMB2;PSMB3;TRA2B;FAM120A;POLD2;RPS3;USP1;EIF4H;SNRPB2;RPS2;BUB3;RPL18;CCT7;HNRNPA1;EIF4E;CCT5;CCT4;NOP56;RANBP1;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;PTGES3;CNBP;NAP1L1;DEK;HSPE1;RSL1D1;PSMC6;XPOT;PSMC4;APEX1;IMPDH2;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;POLE3;PRPF31;HDGF;SSBP1;TARDBP;ABCE1;EIF3D;RAN;MAD2L1;EIF3B
MSigDB_Hallmark_2020,E2F Targets,186/200,2.428773924133429e-39,4.047956540222382e-38,0,0,13.226797592651252,1176.0399690556958,JPT1;NUP107;POP7;MRE11;TFRC;DSCC1;CSE1L;CCP110;BUB1B;SMC6;MKI67;SMC3;SMC4;IPO7;CDC20;PNN;PTTG1;WDR90;CHEK2;MYC;CHEK1;STMN1;NBN;KPNA2;TMPO;TIPIN;LIG1;HUS1;CDC25A;CDC25B;ILF3;DDX39A;MELK;MSH2;MTHFD2;CCNE1;ZW10;TIMELESS;SRSF2;ASF1A;ASF1B;SNRPB;SLBP;NUP205;DNMT1;CDCA3;PRKDC;SHMT1;AK2;CDCA8;NOLC1;HMMR;PDS5B;GSPT1;RAD51AP1;CCNB2;PRDX4;ORC6;RACGAP1;UBR7;RAD21;ORC2;LYAR;PLK4;BARD1;XRCC6;CBX5;PLK1;HMGA1;NUP153;PA2G4;PAICS;EIF2S1;PAN2;POLA2;STAG1;KIF18B;NASP;UBE2S;CDK4;UBE2T;KIF4A;ANP32E;HNRNPD;CDK1;CNOT9;MXD3;EZH2;TOP2A;CDKN1A;CDKN1B;MCM7;SUV39H1;HMGB2;HMGB3;PSIP1;BRCA1;CTCF;CKS1B;LMNB1;SYNCRIP;XPO1;MYBL2;TK1;POLE;LBR;TCF19;HELLS;RFC3;RFC1;EED;RFC2;TUBB;CTPS1;KIF22;TUBG1;SMC1A;DCK;NME1;CIT;MMS22L;RAD51C;ESPL1;CKS2;DEPDC1;MCM3;MCM4;BIRC5;LUC7L3;KIF2C;MCM5;NAA38;MCM6;DCTPP1;MCM2;PRIM2;PRPS1;PCNA;SRSF1;PPM1D;AURKB;UNG;AURKA;TBRG4;PSMC3IP;POLD3;POLD1;TRA2B;EXOSC8;PPP1R8;POLD2;USP1;PMS2;RBBP7;GINS1;NOP56;RANBP1;DUT;CDKN2C;RRM2;SPAG5;GINS3;ATAD2;RPA1;DONSON;RPA2;NAP1L1;DEK;SSRP1;MLH1;POLE4;CENPE;NUDT21;WEE1;PHF5A;RPA3;BRMS1L;TACC3;CENPM;NCAPD2;RAD1;TRIP13;RAN;MAD2L1;CDKN3;SPC25
MSigDB_Hallmark_2020,mTORC1 Signaling,179/200,2.8799515108289536e-32,3.5999393885361918e-31,0,0,8.47401790809989,615.4251227931032,ERO1A;TES;TFRC;PITPNB;CCNF;UBE2D3;ARPC5L;PLOD2;TMEM97;IFI30;RRP9;TM7SF2;FADS2;PNP;TBK1;NAMPT;FADS1;PSPH;PDK1;MAP2K3;G6PD;IGFBP5;IFRD1;ACSL3;CDC25A;SYTL2;ACLY;DDX39A;MTHFD2;PPA1;DDIT3;PSME3;DDIT4;MTHFD2L;HMBS;TRIB3;HPRT1;NUPR1;SQSTM1;PPIA;SKAP2;IDI1;NUP205;PSMD12;FKBP2;PSMD14;SHMT2;PSMD13;INSIG1;RPN1;GMPS;PIK3R3;STC1;AK4;SLC1A4;SLC1A5;CORO1A;ADIPOR2;ACACA;HSP90B1;ATP5MC1;SLC9A3R1;STIP1;LDHA;EBP;RDH11;PRDX1;PGK1;SSR1;LTA4H;ATP6V1D;HSPA9;XBP1;SDF2L1;HSPA5;GOT1;PNO1;HSPA4;SRD5A1;EDEM1;IDH1;PLK1;M6PR;ASNS;DHCR24;EIF2S2;DHFR;CCT6A;QDPR;SQLE;SLC6A6;GCLC;COPS5;P4HA1;BHLHE40;NMT1;PSMG1;CALR;DHCR7;LGMN;NFKBIB;GPI;GSK3B;CDKN1A;BTG2;GBE1;ITGB2;SLC2A1;ATP2A2;VLDLR;SLC7A11;HK2;SERP1;ME1;PHGDH;SLC37A4;CTSC;PGM1;ACTR3;ACTR2;TPI1;HMGCS1;ELOVL5;SORD;ELOVL6;CACYBP;TUBG1;UCHL5;SLC7A5;PSMA3;PSMA4;CANX;MCM4;ETF1;ALDOA;EEF1E1;GAPDH;MCM2;PPP1R15A;RAB1A;TOMM40;USO1;CXCR4;GLRX;HMGCR;ADD3;UNG;AURKA;HSPD1;GGA2;PSMB5;NFIL3;SC5D;YKT6;LDLR;SEC11A;BUB1;CYB5B;RRM2;NFYC;TXNRD1;GSR;RPA1;IMMT;PDAP1;GTF2H1;HSPE1;RIT1;UFM1;PFKL;PSMC6;PSMC4;PSAT1;SCD;PSMC2;CCNG1;TCEA1;CD9;GLA
MSigDB_Hallmark_2020,G2-M Checkpoint,177/200,1.8179348974212164e-30,1.8179348974212166e-29,0,0,7.647607623033715,523.7070351563718,JPT1;CCNT1;CCNF;HNRNPU;MKI67;SMC4;SMC2;CDC20;MT2A;PTTG1;CCND1;SNRPD1;MYC;KIF5B;CHEK1;STMN1;CDC27;NUSAP1;NEK2;FBXO5;KMT5A;KPNA2;HMGN2;TMPO;TLE3;SMARCC1;SLC38A1;HUS1;LIG3;PRPF4B;CDC25A;CDC25B;SAP30;ILF3;DDX39A;EWSR1;DKC1;NCL;SRSF2;NUP98;KIF20B;ATF5;KPNB1;NOTCH2;CUL5;YTHDC1;TROAP;CUL3;CUL1;NOLC1;HMMR;PDS5B;RASAL2;EFNA5;HIF1A;GSPT1;ORC5;CCNB2;ORC6;RACGAP1;RAD21;G3BP1;ABL1;MAP3K20;PLK4;BARD1;HSPA8;STIL;DR1;SMAD3;UBE2C;ODF2;PLK1;CBX1;HMGA1;CDC7;CDC6;NDC80;TPX2;SQLE;STAG1;UCK2;POLA2;NASP;UBE2S;CDK4;KIF4A;BCL3;HNRNPD;CDK1;MNAT1;EZH2;TOP2A;CDKN1B;NUMA1;SUV39H1;AMD1;HMGB3;KIF11;CTCF;TENT4A;LMNB1;CKS1B;SYNCRIP;XPO1;CHMP1A;PBK;MYBL2;LBR;POLE;TNPO2;UPF1;SS18;PRMT5;RBM14;ATRX;KIF23;KIF22;SMC1A;RAD23B;CCNA2;SLC7A5;SFPQ;DBF4;TFDP1;RBL1;ESPL1;NUP50;MTF2;CKS2;MCM3;BIRC5;KIF2C;MCM5;MCM6;TOP1;PAFAH1B1;MCM2;PRIM2;DTYMK;ODC1;SRSF1;TTK;CENPA;SLC7A1;AURKB;AURKA;HIRA;PURA;CDC45;TRA2B;KATNA1;NSD2;E2F1;RAD54L;DMD;E2F3;BUB3;E2F4;SRSF10;BUB1;SLC12A2;GINS2;CASP8AP2;CDKN2C;EGF;RPA2;MAPK14;PML;CUL4A;CENPE;CENPF;MARCKS;PRC1;TACC3;MAD2L1;CDKN3
MSigDB_Hallmark_2020,Estrogen Response Early,176/200,1.342229349802833e-29,1.1185244581690272e-28,0,0,7.286078668277621,484.38314214744,SCARB1;FCMR;WWC1;ABAT;HR;NADSYN1;CELSR1;AQP3;CELSR2;TSKU;RAPGEFL1;IGF1R;GJA1;DEPTOR;CCND1;MYC;MYB;TBC1D30;SLC39A6;SYBU;TGM2;MREG;CISH;IGFBP4;KRT8;NPY1R;KCNK15;KAZN;PDZK1;OVOL2;SULT2B1;TIAM1;AR;ADCY9;RAB31;CLDN7;SCNN1A;PPIF;PGR;FKBP4;IL6ST;SLC27A2;PTGES;FKBP5;SLC26A2;SLC22A5;MINDY1;PEX11A;ARL3;ABHD2;SLC1A1;ENDOD1;RHOBTB3;ISG20L2;SLC1A4;SEC14L2;UGCG;SLC9A3R1;SYNGR1;INPP5F;PODXL;STC2;BAG1;PMAIP1;SFN;SLC19A2;FDFT1;XBP1;TFAP2C;EGR3;SLC37A1;OPN3;TIPARP;WFS1;SIAH2;ABCA3;GREB1;INHBB;MED13L;REEP1;FASN;BHLHE40;BCL2;UNC119;DHCR7;RETREG1;RET;KCNK5;LAD1;B4GALT1;NXT1;MAST4;HSPB8;FHL2;SLC2A1;AREG;PRSS23;AFF1;FAM102A;ANXA9;RRP12;MYBL1;MSMB;KLF10;TGIF2;ELOVL5;ELOVL2;DYNLT3;ITPK1;MYOF;GFRA1;GAB2;NAV2;RHOD;IL17RB;NCOR2;SLC7A5;ELF1;MED24;ELF3;ESRP2;MPPED2;RARA;TFF3;BLVRB;TFF1;MAPT;FOXC1;CANT1;SLC24A3;TMPRSS3;SEMA3B;ASB13;ADCY1;ADD3;TOB1;TMEM164;SLC7A2;THSD4;AKAP1;MUC1;PDLIM3;ABLIM1;OLFML3;P2RY2;NRIP1;LRIG1;RBBP8;SH3BP5;FLNB;HES1;MICB;CA12;FARP1;SVIL;KDM4B;ZNF185;TPBG;AMFR;SNX24;TPD52L1;DHRS2;KLK10;DHRS3;TTC39A;KRT19;KRT18;MLPH;MYBBP1A;SYT12;KRT15;CHPT1;RAB17;GLA;TJP3;FRK
MSigDB_Hallmark_2020,Mitotic Spindle,168/199,7.962491591334497e-24,5.66823777373429e-23,0,0,5.376283507496592,285.95000523370203,TRIO;ITSN1;SMC3;SMC4;UXT;PPP4R2;KIF5B;CDC27;NUSAP1;ARFIP2;CEP250;NEK2;KNTC1;FBXO5;KIFAP3;CDK5RAP2;RALBP1;MAP1S;CEP131;CSNK1D;TSC1;ACTN4;CD2AP;BCR;TIAM1;CLIP1;BIN1;GEMIN4;KIF20B;EZR;ARL8A;VCL;NOTCH2;EPB41;TUBGCP2;PXN;RASAL2;KLC1;ABR;CCNB2;RHOT2;BCL2L11;RACGAP1;KIF3B;EPB41L2;ABL1;STK38L;CEP192;KIF3C;MARK4;ECT2;MYH10;SPTBN1;SAC3D1;PLK1;TBCD;ARHGAP29;ARHGAP27;HOOK3;SSH2;NDC80;NET1;ANLN;TPX2;DLG1;KIF4A;SASS6;NF1;TUBGCP5;CDK1;TUBGCP3;CNTROB;MAP3K11;TOP2A;CEP57;YWHAE;DOCK4;NUMA1;KIF11;WASL;ARHGAP5;PKD2;ARHGAP4;LMNB1;AKAP13;PCM1;CAPZB;NCK2;TLK1;KIF1B;SPTAN1;NCK1;ARHGEF11;ARHGEF12;DST;RFC1;SHROOM2;KIF23;RHOF;KIF22;SHROOM1;SMC1A;DYNLL2;CKAP5;LATS1;CTTN;ALS2;ESPL1;PALLD;CDC42EP4;RASA1;RASA2;ARHGEF3;CDC42EP1;BIRC5;ATG4B;KIF2C;ARHGEF2;MAPRE1;KPTN;ARHGEF7;RAPGEF5;SOS1;ARF6;PAFAH1B1;RABGAP1;STAU1;ROCK1;TUBD1;NEDD9;KATNB1;TTK;HDAC6;AURKA;CDC42;FGD4;CYTH2;FGD6;KATNA1;FLNA;FLNB;RICTOR;PCNT;PDLIM5;WASF2;BUB1;CLASP1;ARFGEF1;FARP1;DYNC1H1;GSN;PCGF5;MID1IP1;RANBP9;CDC42BPA;LRPPRC;CENPE;CENPF;MARCKS;NIN;APC;PRC1;CENPJ;ALMS1;TAOK2;ABI1;RAB3GAP1;BCAR1
MSigDB_Hallmark_2020,Unfolded Protein Response,106/113,9.069180437974865e-24,5.66823777373429e-23,0,0,14.965721141485988,794.0386660797828,EIF4A2;ERO1A;EIF4A1;POP4;EIF4A3;IFIT1;RRP9;RPS14;TATDN2;KHSRP;KIF5B;MTREX;BANF1;CHAC1;IMP3;SLC30A5;DDX10;PDIA6;PDIA5;ERN1;MTHFD2;DKC1;DDIT4;NHP2;GEMIN4;PREB;KDELR3;ATP6V0D1;ATF6;ATF3;ATF4;SHC1;NOLC1;SLC1A4;HSP90B1;BAG3;STC2;EIF4EBP1;SSR1;SEC31A;HSPA9;ZBTB17;XBP1;NOP14;HSPA5;WFS1;FUS;EDEM1;EIF2AK3;LSM1;ASNS;EEF2;EIF2S1;LSM4;CNOT4;CNOT6;CNOT2;SRPRA;SRPRB;HYOU1;CALR;ALDH18A1;DCP1A;EIF4G1;FKBP14;HERPUD1;CKS1B;SERP1;TTC37;WIPI1;YWHAZ;ARFGAP1;DNAJC3;SLC7A5;TUBB2A;DCP2;EXOC2;CEBPB;DCTN1;GOSR2;CEBPG;PARN;CXXC1;SDAD1;EXOSC5;EXOSC4;EXOSC10;EXOSC9;DNAJB9;CCL2;EXOSC2;EIF4E;SEC11A;EXOSC1;PAIP1;NOP56;NPM1;NFYA;NFYB;YIF1A;VEGFA;SPCS3;SPCS1;XPOT;PSAT1;DNAJA4
MSigDB_Hallmark_2020,DNA Repair,133/150,2.168209110679378e-23,1.2045606170440988e-22,0,0,7.745098039215686,404.18224440461313,ARL6IP1;MPG;GTF2B;PNP;CLP1;MPC2;LIG1;GTF2F1;RBX1;BCAM;CMPK2;HPRT1;SRSF6;EIF1B;VPS28;POM121;TSG101;CSTF3;COX17;SUPT4H1;AK3;XPC;AAAS;SDCBP;DGUOK;ZNF707;SAC3D1;SURF1;POLR3GL;ALYREF;UPF3B;SUPT5H;SMAD5;ZWINT;POLA1;POLA2;AGO4;ITPA;FEN1;ELL;CETN2;SNAPC5;POLB;SEC61A1;ZNRD1;MRPL40;GUK1;SNAPC4;REV3L;ELOA;DGCR8;TMED2;NELFB;POLL;TK2;NELFCD;NELFE;RFC5;RFC3;RFC4;NCBP2;RFC2;NME3;NME4;EDF1;VPS37B;DDB2;NME1;APRT;NT5C3A;DDB1;RRM2B;DAD1;NFX1;POLR1C;POLR1D;UMPS;GTF2A2;RALA;PCNA;CANT1;GTF3C5;RNMT;PRIM1;USP11;GMPR2;DCTN4;TAF9;TYMS;ADCY6;POLD3;NT5C;POLD4;POLR2A;TAF1C;POLR2C;POLD1;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;STX3;POLR2I;POLR2J;RAE1;POLR2K;SF3A3;BCAP31;DUT;BRF2;TAF12;TAF13;TAF10;ADRM1;RPA2;GTF2H1;SSRP1;GTF2H3;TARBP2;GTF2H5;POLE4;NUDT9;NUDT21;ERCC3;POLR3C;ERCC4;ERCC1;RPA3;IMPDH2;ERCC2;ERCC8;TAF6
MSigDB_Hallmark_2020,Protein Secretion,88/96,3.715876254397852e-18,1.8065480832616576e-17,0,0,10.850698602794411,435.4810387902848,ARF1;CLTC;SNAP23;ICA1;CLTA;RAB22A;GOLGA4;SCRN1;AP1G1;LAMP2;TMED2;KIF1B;ARFIP1;AP3S1;ATP7A;DNM1L;AP2M1;CTSC;RAB2A;TPD52;DST;STX7;COG2;ADAM10;OCRL;AP3B1;SCAMP1;ARFGAP3;SCAMP3;TOM1L1;VAMP7;RER1;TMX1;ZW10;ERGIC3;VAMP4;SEC22B;VAMP3;NAPA;COPB2;STX12;CD63;TMED10;TSG101;SGMS1;STX16;COPB1;VPS4B;GOSR2;USO1;ATP1A1;CLCN3;NAPG;CLN5;LMAN1;SNX2;AP2S1;ATP6V1H;MAPK1;YKT6;SEC31A;ARFGEF1;ABCA1;ARFGEF2;MON2;CAV2;BNIP3;GBF1;M6PR;AP2B1;STAM;IGF2R;ARCN1;SOD1;GALC;KRT18;RAB14;PPT1;GNAS;YIPF6;ANP32E;RAB9A;VPS45;SEC24D;PAM;RAB5A;GLA;BET1
