names,scores,logfoldchanges,pvals,pvals_adj
PPP1R1B,16.023756,1.7898446,8.721863571071602e-58,2.9251386044659936e-53
SCGB2A1,15.885721,1.4819602,7.95778874876752e-57,1.106830329805316e-52
FN1,15.872017,1.5792824,9.900682776003185e-57,1.106830329805316e-52
SPARC,15.718228,1.3910656,1.1345273902940782e-55,7.609955923136558e-52
ADAMTS1,15.555186,1.8114902,1.4672809342474863e-54,8.201611328798699e-51
SHISA2,14.098913,1.6322126,3.856646986808783e-45,1.8477746663370424e-41
POSTN,13.819991,1.578658,1.9309274398406668e-43,7.195493830819587e-40
COL3A1,13.740521,1.5052791,5.805642035705587e-43,1.9470962259349395e-39
ACTA2,13.726168,1.4621857,7.077980193639311e-43,2.1580118157661383e-39
COL1A2,13.42564,1.4035528,4.278694460055066e-41,1.1958237900110568e-37
COL1A1,12.398478,1.22314,2.6633699537476886e-35,6.871084731445383e-32
BAMBI,12.163417,1.1890994,4.8679087650452695e-34,1.0883994944139217e-30
COL5A2,11.249833,1.4419934,2.3203137610597833e-29,4.0957201536012117e-26
THBS1,11.231478,1.5350858,2.856592050445641e-29,4.790219209392295e-26
CTSB,10.729899,0.7255998,7.367617460704262e-27,1.1766435923671406e-23
ACTB,10.664033,0.44652167,1.4995115215895732e-26,2.186548583090048e-23
COL11A1,10.610669,1.9699272,2.658386047891692e-26,3.714872969757982e-23
FBN1,10.488938,1.3607571,9.711391657225209e-26,1.3028026136000761e-22
TAGLN,10.45918,0.8309478,1.3300135477245836e-25,1.7156151678302726e-22
CTGF,10.405116,1.2588235,2.3496880491752285e-25,2.918660659008845e-22
COL5A1,10.244125,1.2499119,1.2575742346157755e-24,1.506304452876567e-21
PLEKHB1,10.159404,0.9282748,3.0091203978889914e-24,3.4799958587724486e-21
APOC1,10.115892,0.87066627,4.697172995227908e-24,5.081735093998503e-21
SH3BGRL,10.010116,0.9172852,1.3759228724198909e-23,1.4420531654755718e-20
LUM,9.861827,1.117139,6.093036115966222e-23,6.192371068402278e-20
TPM1,9.731844,1.1058952,2.205582126470344e-22,2.1134518102160683e-19
COL10A1,9.594309,1.6368685,8.4481594450319135e-22,7.870399207430008e-19
THBS2,9.5384445,1.2267377,1.449909423503588e-21,1.3142449255530631e-18
COL12A1,9.407011,1.3067235,5.104478898422683e-21,4.505105613034209e-18
CERS2,9.254122,0.7247303,2.159994226374321e-20,1.85748426574723e-17
IGFBP7,9.20811,0.9018529,3.319185690460469e-20,2.78297124216658e-17
ITGB1,9.176452,0.78376484,4.4553100358626434e-20,3.644443609335642e-17
LINC00052,8.863722,1.0704241,7.738700226543881e-19,5.898648368132469e-16
COL4A1,8.792153,1.380815,1.4672071458365226e-18,1.0934931834903399e-15
VIM,8.770448,0.6359082,1.7795761855743695e-18,1.2974657850389827e-15
TPM2,8.732788,0.75961536,2.4847091414403558e-18,1.7730250039495034e-15
MYL9,8.590952,0.740658,8.625204766185418e-18,5.903512600986256e-15
CRABP2,8.446614,0.45542964,2.9987187771792284e-17,1.9340582759430186e-14
MAGED1,8.380347,0.7606712,5.277165749297284e-17,3.3393506584892894e-14
MYH9,8.337987,0.6662594,7.556609387530307e-17,4.6932141784998416e-14
S100A11,8.171244,0.33790237,3.0522577148665157e-16,1.8612112589307856e-13
MAOB,8.158441,0.89279985,3.393773945173508e-16,2.0325069745219485e-13
CXCR4,8.144287,0.8019199,3.8152323174642296e-16,2.2448291484757077e-13
GPRC5A,8.082221,0.7980174,6.359765261792854e-16,3.6774794370691163e-13
CALD1,7.9048257,1.0026793,2.683088387113495e-15,1.4811050523139224e-12
GPNMB,7.9043255,0.9458123,2.6938818114124057e-15,1.4811050523139224e-12
COL6A1,7.855313,0.75258404,3.9877511758106445e-15,2.122876173560911e-12
CXCL14,7.8491616,0.9507638,4.1882833350206016e-15,2.1947913514050145e-12
COL6A3,7.7558875,0.8573162,8.772777131889199e-15,4.4578999916560606e-12
PLAU,7.719378,1.2179784,1.1689861933812199e-14,5.851561037853634e-12
HLA-DRA,7.709676,0.76463,1.2613789881398733e-14,6.221195368269863e-12
DEGS1,7.605199,0.73370093,2.844660945852522e-14,1.3437216732676321e-11
TIMP3,7.583443,0.7291773,3.365026180468097e-14,1.5459760005553294e-11
SFRP2,7.5535355,0.80823505,4.235985160797904e-14,1.9198171665248663e-11
HLA-DPA1,7.5498347,0.7390822,4.358110341206883e-14,1.948830728311953e-11
SULF1,7.512225,1.096346,5.813073931727681e-14,2.4994727374651662e-11
COL8A2,7.410549,1.2733268,1.2577763556558237e-13,5.2729129269981267e-11
VCAN,7.371839,1.056096,1.6829008196966857e-13,6.968040455677462e-11
COL4A2,7.3233767,0.9972176,2.4180783764194323e-13,9.770784649199389e-11
SERPINE1,7.2830663,1.3993971,3.263166722475939e-13,1.3028581611714052e-10
SDC1,7.25791,0.5507211,3.9311728985548903e-13,1.5511020784909872e-10
MARCKSL1,7.247607,0.68140274,4.2419853978696533e-13,1.6542756543459586e-10
LGALS1,7.2216506,0.41423753,5.136030059865947e-13,1.9799100706641854e-10
CNN3,7.2008953,0.8869056,5.981847871298719e-13,2.2797637944047322e-10
CTSK,7.1897426,0.8165193,6.491366853977589e-13,2.4461512533561843e-10
FCER1G,7.153283,0.79692346,8.472662954605895e-13,3.122595276610687e-10
A2M,7.1513324,0.74526805,8.593949373913461e-13,3.1328681967642355e-10
ARF4,7.0762634,0.7095634,1.4809332307579284e-12,5.173701947204105e-10
NID1,6.9873405,1.8072026,2.801456664417319e-12,9.686108619714232e-10
RAB6A,6.966285,0.71086586,3.2541922729591503e-12,1.1136642903112651e-09
THY1,6.880363,0.62900794,5.970017804444199e-12,2.0224490618732276e-09
SLC12A2,6.8751616,0.79452455,6.191953695941298e-12,2.0766574305447924e-09
RHOA,6.825899,0.5702029,8.737627885106032e-12,2.901411524858278e-09
PCGF2,6.8221483,0.61639327,8.968905519629659e-12,2.9490113070327404e-09
ANXA5,6.7657337,0.5835217,1.3263525087819255e-11,4.318758295099827e-09
NQO1,6.761983,0.6988723,1.3611586413974375e-11,4.389474857229544e-09
CNN2,6.7243733,0.7671116,1.7634995413883502e-11,5.632785487531666e-09
MMP2,6.7179713,0.56619954,1.8427169067706968e-11,5.830286756535437e-09
BMPR1B,6.6881638,0.6814902,2.2598798009506527e-11,7.083350351802149e-09
MIEN1,6.6780114,0.39123788,2.4220639396581387e-11,7.3846527643867866e-09
PALLD,6.618646,1.1338829,3.625035976826652e-11,1.0895504758962e-08
MTRNR2L10,6.5241218,0.61555636,6.840108721301646e-11,1.9802578558489705e-08
OST4,6.523922,0.50033826,6.849242986417811e-11,1.9802578558489705e-08
CTHRC1,6.51842,0.9419377,7.105163065729064e-11,2.036691956396764e-08
CDH11,6.4948645,1.1260966,8.310825960506107e-11,2.3621057717241846e-08
SPATS2L,6.414294,1.0667392,1.4147722396035984e-10,3.921374493539296e-08
HSP90B1,6.4050913,0.57168674,1.5027937872181221e-10,4.131204757026343e-08
