Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,74/200,1.4469437735956764e-61,7.234718867978382e-60,0,0,22.08047897521582,3093.2153735855068,ITGB1;SPARC;COL16A1;ITGB5;SERPINE1;COL12A1;PLOD3;PLOD1;LAMC1;SAT1;LOXL2;GJA1;LGALS1;DPYSL3;TIMP3;COLGALT1;PDGFRB;POSTN;TNFRSF12A;TPM4;IGFBP4;TPM2;MMP2;TPM1;IGFBP2;BGN;EMP3;DCN;ACTA2;VCAN;COL4A2;LOX;COL4A1;COL6A2;ADAM12;CDH11;COL8A2;COL6A3;ITGA5;PPIB;MYL9;MXRA5;LRRC15;TAGLN;COPA;NNMT;COL11A1;HTRA1;THY1;THBS2;FSTL1;FBLN2;THBS1;CALD1;SERPINH1;SPP1;CTHRC1;LUM;FN1;INHBA;COL1A1;MFAP5;COL3A1;DAB2;COL1A2;FAP;COL5A1;COL5A2;CALU;SDC1;TGFBI;VIM;FMOD;FBN1
MSigDB_Hallmark_2020,Coagulation,30/138,5.24251162401344e-18,1.3106279060033599e-16,0,0,9.627468581687612,383.0743848147813,ARF4;SPARC;WDR1;C1S;SERPINE1;HTRA1;CRIP2;CLU;PRSS23;THBS1;CSRP1;PLAU;CTSK;LAMP2;S100A13;CTSH;OLR1;TIMP3;RAC1;A2M;CTSB;ANXA1;S100A1;MMP2;FN1;MMP11;APOC1;CD9;LGMN;FBN1
MSigDB_Hallmark_2020,Apical Junction,27/200,3.9901286164031736e-11,6.650214360671958e-10,0,0,5.362097440132122,128.39334570148202,ITGB1;COL16A1;CTNND1;THY1;WASL;ACTB;ACTG1;CNN2;LIMA1;MDK;CTNNA1;RSU1;CD99;YWHAH;CAP1;ACTN1;MMP2;MSN;VCAN;CDH11;CERCAM;MYH9;TGFBI;PFN1;MYL9;NECTIN2;FBN1
MSigDB_Hallmark_2020,Apoptosis,24/161,5.985876884924068e-11,7.482346106155085e-10,0,0,5.997899677172603,141.18475951658465,PDGFRB;TOP2A;BNIP3L;ANXA1;TNFRSF12A;IFNGR1;SLC20A1;LUM;MMP2;BGN;EMP1;CLU;SAT1;IGF2R;DCN;DAP;KRT18;CCND1;PEA15;ERBB2;PPT1;TIMP2;TIMP3;DAP3
MSigDB_Hallmark_2020,Complement,26/200,2.144083734773039e-10,2.1440837347730387e-09,0,0,5.124408384043273,114.08541426143384,CPM;C1S;SERPINE1;GATA3;LIPA;CLU;CSRP1;CTSL;LAMP2;S100A13;TIMP2;OLR1;CTSH;CTSD;CD55;CTSB;FCER1G;HSPA5;ANXA5;FN1;COL4A2;APOC1;PFN1;CALM1;LGMN;C1QC
MSigDB_Hallmark_2020,Myogenesis,25/200,1.101991703307536e-09,9.183264194229467e-09,0,0,4.890188103711235,100.86573699769932,ITGB1;TAGLN;COL15A1;SPARC;ITGB5;HSPB8;AEBP1;CLU;CNN3;STC2;IGFBP7;PDLIM7;SPDEF;NQO1;ATP6AP1;TPM3;TPM2;COL1A1;COL3A1;COL4A2;TNNT1;COL6A2;ADAM12;COL6A3;MYH9
MSigDB_Hallmark_2020,Angiogenesis,11/36,3.912736856176612e-09,2.7948120401261515e-08,0,0,14.810277777777776,286.7125932154012,NRP1;POSTN;VCAN;COL3A1;LUM;COL5A2;SPP1;OLR1;FSTL1;SERPINA5;FGFR1
MSigDB_Hallmark_2020,Androgen Response,15/100,2.1912957379205221e-07,1.3695598362003262e-06,0,0,5.962978198272316,91.433938129645,TPD52;TMEM50A;ACTN1;SAT1;MYL12A;AZGP1;KRT19;CCND1;ZMIZ1;ADAMTS1;BMPR1B;PDLIM5;SEC24D;B2M;SPDEF
MSigDB_Hallmark_2020,Adipogenesis,20/200,1.928206034205574e-06,9.641030171027872e-06,0,0,3.7689594356261034,49.59543759345696,RTN3;COL15A1;NDUFB7;CAVIN1;IFNGR1;MGST3;HSPB8;LAMA4;UQCR10;COX6A1;DNAJC15;TOB1;SCP2;REEP5;COL4A1;UQCRQ;UBC;SPARCL1;STOM;DHCR7
MSigDB_Hallmark_2020,Myc Targets V1,20/200,1.928206034205574e-06,9.641030171027872e-06,0,0,3.7689594356261034,49.59543759345696,SET;RPS5;RPLP0;RAD23B;PRDX4;SNRPD2;PSMB2;YWHAQ;PCBP1;CANX;RACK1;RPS3;RPL14;SNRPG;PGK1;SNRPB2;RPS2;RPL18;SRSF7;CCT4
MSigDB_Hallmark_2020,UV Response Dn,16/144,5.2837484676145e-06,2.401703848915682e-05,0,0,4.22176007005254,51.29807794165826,PDGFRB;NRP1;IGFBP5;COL11A1;SERPINE1;LAMC1;COL1A1;GJA1;DAB2;COL3A1;COL1A2;ZMIZ1;COL5A2;ERBB2;PDLIM5;LDLR
MSigDB_Hallmark_2020,Estrogen Response Early,19/200,7.350046785691599e-06,2.826941071419846e-05,0,0,3.5542759318340984,42.01439872333886,CANT1;IGFBP4;HSPB8;TPBG;PRSS23;TOB1;GJA1;KRT19;MUC1;FAM102A;KRT18;CCND1;OLFML3;STC2;TFF3;SLC39A6;BLVRB;TFF1;DHCR7
MSigDB_Hallmark_2020,Estrogen Response Late,19/200,7.350046785691599e-06,2.826941071419846e-05,0,0,3.5542759318340984,42.01439872333886,TOP2A;IGFBP4;HSPB8;TPBG;PRSS23;CXCL14;TOB1;SERPINA5;KRT19;FAM102A;TSPAN13;FABP5;CCND1;MDK;TFF3;BLVRB;CD9;TFF1;DHCR7
MSigDB_Hallmark_2020,Cholesterol Homeostasis,11/74,9.915268013983566e-06,3.5411671478512736e-05,0,0,5.865575396825397,67.57984429485428,ABCA2;TNFRSF12A;FABP5;ANXA5;CD9;DHCR7;CLU;LDLR;S100A11;ACTG1;LGMN
MSigDB_Hallmark_2020,Protein Secretion,12/96,2.4148480037598406e-05,8.049493345866135e-05,0,0,4.802236024844721,51.05395959419079,TPD52;COPB2;ARF1;KRT18;RAB14;CLTC;LAMP2;PPT1;TMED2;ATP1A1;SEC24D;IGF2R
MSigDB_Hallmark_2020,Hypoxia,17/200,8.997078591268418e-05,0.0002646199585667182,0,0,3.1340235835490367,29.196643751374623,TPD52;BNIP3L;CAVIN1;HSPA5;TPBG;SERPINE1;BGN;CXCR4;DCN;LOX;COL5A1;ILVBL;STC2;PGK1;MYH9;TGFBI;FBP1
MSigDB_Hallmark_2020,Allograft Rejection,17/200,8.997078591268418e-05,0.0002646199585667182,0,0,3.1340235835490367,29.196643751374623,TPD52;RPS9;IFNGR1;GALNT1;LY86;RPS3A;HLA-A;THY1;INHBA;HIF1A;HLA-DMA;HLA-DMB;RPS19;HLA-DRA;DEGS1;B2M;HLA-DQA1
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,11/105,0.00026073245479181907,0.0007242568188661641,0,0,3.924885490543735,32.38821689990152,ACTR3;ACTR2;ARF1;CFL1;CLTC;PIN1;CXCR4;PTPN11;RAC1;PFN1;HSP90B1
